criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
gini,32,10,2,1.0,0.0,0.522,45,SP
gini,16,8,4,0.9999547263877242,9.054722455177356e-05,0.409,46,SP
entropy,18,5,3,0.999977363193862,6.791041841383016e-05,0.39,47,SP
entropy,11,8,3,1.0,0.0,0.412,48,SP
gini,16,8,6,0.9998868797964529,0.0002085625853616997,0.423,49,SP
entropy,31,20,5,1.0,0.0,0.943,0,BF
gini,12,14,5,1.0,0.0,0.827,1,BF
gini,26,20,5,1.0,0.0,0.925,2,BF
gini,19,4,7,0.9995887048412031,0.0006415049824562054,0.512,3,BF
gini,27,20,5,1.0,0.0,0.897,4,BF
entropy,5,20,4,1.0,0.0,0.981,5,BF
gini,23,19,7,1.0,0.0,0.778,6,BF
entropy,15,22,9,1.0,0.0,0.892,7,BF
gini,17,9,6,0.9998456810767056,0.00023572617799627995,0.609,8,BF
entropy,10,6,4,1.0,0.0,0.53,9,BF
entropy,4,5,4,0.9926493615536728,0.0051222518459457566,0.562,10,BF
entropy,11,22,2,1.0,0.0,1.009,11,BF
gini,15,18,9,1.0,0.0,0.921,12,BF
gini,4,11,3,0.9995374251952522,0.000932623001754602,0.645,13,BF
entropy,16,4,8,0.9998458717784697,0.0003288186405903183,0.587,14,BF
entropy,28,17,9,1.0,0.0,0.876,15,BF
gini,7,10,4,1.0,0.0,0.715,16,BF
entropy,4,19,4,1.0,0.0,0.951,17,BF
gini,29,22,2,1.0,0.0,0.884,18,BF
entropy,3,22,2,0.9997440694156012,0.0007677917531963341,1.006,19,BF
gini,15,13,5,0.9999485285285197,0.00015441441444090652,0.756,20,BF
gini,11,8,2,1.0,0.0,0.61,21,BF
gini,27,10,4,0.9998970570570395,0.0002058858859212087,0.77,22,BF
entropy,17,17,9,1.0,0.0,0.834,23,BF
gini,31,19,7,1.0,0.0,0.78,24,BF
entropy,25,3,4,0.999897152548186,0.00020569501445426283,0.496,25,BF
gini,10,22,6,1.0,0.0,1.013,26,BF
entropy,21,18,5,1.0,0.0,0.859,27,BF
gini,24,8,9,0.9999485285285197,0.00015441441444090652,0.709,28,BF
entropy,12,13,9,1.0,0.0,0.83,29,BF
gini,8,8,4,1.0,0.0,0.606,30,BF
gini,23,17,5,1.0,0.0,0.803,31,BF
entropy,19,1,3,0.9995365652111261,0.00036060137838094707,0.526,32,BF
entropy,5,12,4,1.0,0.0,0.766,33,BF
entropy,25,18,7,1.0,0.0,0.862,34,BF
entropy,27,17,8,1.0,0.0,0.805,35,BF
entropy,27,8,8,1.0,0.0,0.674,36,BF
gini,5,11,9,0.9997944006812112,0.0003410198497800161,0.662,37,BF
entropy,17,16,7,1.0,0.0,0.858,38,BF
entropy,28,22,8,1.0,0.0,1.007,39,BF
gini,13,3,9,0.9988656020293274,0.0015115256292545852,0.55,40,BF
entropy,5,13,6,1.0,0.0,0.776,41,BF
entropy,11,17,5,1.0,0.0,0.878,42,BF
entropy,13,18,8,1.0,0.0,0.884,43,BF
entropy,13,18,6,1.0,0.0,0.879,44,BF
gini,31,16,8,0.9999485285285197,0.00015441441444090652,0.836,45,BF
gini,19,13,6,1.0,0.0,0.663,46,BF
gini,32,14,2,1.0,0.0,0.749,47,BF
entropy,19,20,9,1.0,0.0,0.976,48,BF
gini,19,20,2,1.0,0.0,0.879,49,BF
gini,24,8,7,1.0,0.0,0.759,0,OS
entropy,17,38,5,1.0,0.0,1.033,1,OS
gini,10,47,8,1.0,0.0,1.051,2,OS
gini,22,4,8,0.9999123553154409,0.00017528943516601772,0.699,3,OS
gini,9,11,6,0.9999562116834166,0.00013136494975037882,0.797,4,OS
entropy,13,30,7,1.0,0.0,1.028,5,OS
gini,22,11,5,1.0,0.0,0.626,6,OS
entropy,20,6,2,1.0,0.0,0.763,7,OS
gini,24,14,4,1.0,0.0,0.737,8,OS
entropy,24,7,7,1.0,0.0,0.649,9,OS
entropy,6,15,9,1.0,0.0,0.792,10,OS
gini,16,12,6,1.0,0.0,0.828,11,OS
gini,20,2,4,0.9999123553719009,0.00026293388429751154,0.677,12,OS
entropy,11,14,5,1.0,0.0,0.91,13,OS
gini,12,7,6,0.9999561436320243,0.0001315691039269429,0.691,14,OS
entropy,31,21,9,1.0,0.0,0.991,15,OS
entropy,14,32,4,1.0,0.0,0.979,16,OS
entropy,10,3,7,0.9997807860418536,0.00029424878620486504,0.58,17,OS
gini,3,10,2,1.0,0.0,0.64,18,OS
gini,28,27,2,1.0,0.0,0.927,19,OS
gini,15,29,7,1.0,0.0,0.991,20,OS
gini,3,22,4,1.0,0.0,0.787,21,OS
gini,32,23,9,1.0,0.0,0.801,22,OS
entropy,28,24,2,1.0,0.0,0.937,23,OS
gini,25,10,7,1.0,0.0,0.832,24,OS
entropy,25,42,7,1.0,0.0,1.162,25,OS
gini,31,4,2,1.0,0.0,0.739,26,OS
gini,31,39,4,1.0,0.0,0.885,27,OS
entropy,18,8,4,1.0,0.0,0.644,28,OS
entropy,7,42,6,1.0,0.0,1.231,29,OS
gini,31,36,3,1.0,0.0,0.936,30,OS
entropy,23,8,9,1.0,0.0,0.704,31,OS
gini,10,11,7,1.0,0.0,0.663,32,OS
entropy,32,35,8,1.0,0.0,1.027,33,OS
entropy,29,47,7,1.0,0.0,1.351,34,OS
gini,1,26,8,0.9868010062745046,0.037299534744412756,0.768,35,OS
entropy,10,34,2,1.0,0.0,1.073,36,OS
entropy,26,48,8,1.0,0.0,1.163,37,OS
gini,12,23,4,1.0,0.0,0.767,38,OS
gini,24,49,8,1.0,0.0,1.026,39,OS
gini,22,37,4,1.0,0.0,0.905,40,OS
gini,25,4,3,1.0,0.0,0.55,41,OS
entropy,29,5,5,1.0,0.0,0.733,42,OS
gini,19,26,2,1.0,0.0,0.868,43,OS
entropy,13,32,6,1.0,0.0,1.046,44,OS
entropy,4,17,5,1.0,0.0,0.963,45,OS
entropy,2,28,3,1.0,0.0,0.912,46,OS
gini,8,37,2,1.0,0.0,0.922,47,OS
entropy,20,25,5,1.0,0.0,0.961,48,OS
entropy,4,42,5,1.0,0.0,1.057,49,OS
gini,22,5,6,1.0,0.0,0.541,0,SCHD
entropy,16,3,4,1.0,0.0,0.493,1,SCHD
gini,21,11,4,1.0,0.0,0.652,2,SCHD
entropy,23,12,5,1.0,0.0,0.663,3,SCHD
gini,14,27,2,1.0,0.0,0.74,4,SCHD
gini,16,21,2,1.0,0.0,0.622,5,SCHD
entropy,20,20,6,1.0,0.0,0.669,6,SCHD
gini,7,21,5,1.0,0.0,0.742,7,SCHD
gini,7,17,7,1.0,0.0,0.585,8,SCHD
gini,7,2,2,1.0,0.0,0.45,9,SCHD
entropy,24,19,7,1.0,0.0,0.799,10,SCHD
gini,25,10,2,1.0,0.0,0.552,11,SCHD
gini,8,17,4,1.0,0.0,0.645,12,SCHD
gini,13,11,6,1.0,0.0,0.5,13,SCHD
entropy,28,17,8,1.0,0.0,0.636,14,SCHD
gini,16,17,8,1.0,0.0,0.635,15,SCHD
entropy,15,28,6,1.0,0.0,0.776,16,SCHD
gini,5,13,9,1.0,0.0,0.556,17,SCHD
entropy,19,9,5,1.0,0.0,0.518,18,SCHD
entropy,11,15,6,1.0,0.0,0.626,19,SCHD
gini,7,26,4,1.0,0.0,0.769,20,SCHD
entropy,18,12,2,1.0,0.0,0.622,21,SCHD
gini,28,11,5,1.0,0.0,0.589,22,SCHD
gini,4,18,4,1.0,0.0,0.684,23,SCHD
entropy,16,1,4,1.0,0.0,0.426,24,SCHD
entropy,29,26,8,1.0,0.0,0.782,25,SCHD
gini,21,14,5,1.0,0.0,0.58,26,SCHD
entropy,20,28,4,1.0,0.0,0.986,27,SCHD
gini,20,7,8,0.9999462180737118,0.00016134577886492974,0.571,28,SCHD
entropy,21,5,3,1.0,0.0,0.47,29,SCHD
entropy,24,25,7,1.0,0.0,0.816,30,SCHD
entropy,29,25,3,1.0,0.0,0.843,31,SCHD
gini,27,18,4,1.0,0.0,0.58,32,SCHD
entropy,23,12,4,1.0,0.0,0.598,33,SCHD
gini,22,27,6,1.0,0.0,0.712,34,SCHD
